"","Unique_ID","stability","BLOCK","TREATMENT","CV","variance","pinhits","mean_dom","SEdom","vardom","CVdom","classicVR","longVR","shortVR","b5classicVR","b5longVR","b5shortVR","meanpopstab","meanrich","varrich","CVrich","cows","wildlife","mega"
"1","CENTRAL_C",3.65059073851173,"CENTRAL","C",0.273928268499273,15809.2867143994,1175.36363636364,0.398687586576643,0.0188186537494598,0.00814525976566734,4.41753749304432,1.31898139125946,0.920592468795058,3.48633107647094,0.733225158354359,0.565588933511515,1.76406386395806,1.81788980563694,19.0909090909091,20.2770562770563,4.23959290143265,"1","0","0"
"2","CENTRAL_MW",3.74174829235441,"CENTRAL","MW",0.26725474881443,17534.9171338423,1284.68181818182,0.40282148324882,0.0245577584590471,0.0138709205122566,3.42026678409186,1.41872545352376,1.14136288700613,2.6768423109014,0.794453850891503,0.673931507325563,1.37203766773625,2.17329764889456,21,20,4.69574275274956,"0","1","1"
"3","CENTRAL_MWC",3.04871638127738,"CENTRAL","MWC",0.328006896981677,12903.6006462207,1136.68181818182,0.337730049091263,0.0143568782498043,0.00453463896775347,5.01531650183454,2.17657130096616,1.80019862783162,3.42056679938276,1.56003052877419,1.41770901617081,2.04941798416704,1.94592356008655,19.7727272727273,21.517316017316,4.26257984400325,"1","1","1"
"4","CENTRAL_O",4.61264784470397,"CENTRAL","O",0.216795219073174,24277.8236314363,1422,0.443725001264604,0.0179927361068046,0.00712224815740042,5.25781557473799,0.75684978224642,0.664509863212509,1.64087117133409,0.29455240885664,0.25413071162933,0.708966453104471,1.83562294062769,20.5,13.5952380952381,5.55981642403792,"0","0","0"
"5","CENTRAL_W",4.2451569237599,"CENTRAL","W",0.235562552329469,15732.8890122087,1236.13636363636,0.401106749658,0.019878355186161,0.00869327810795785,4.30197798365587,1.03110684779013,0.722961781645377,3.02555859872218,0.627207952692837,0.495914740066398,1.58723766540371,1.86595112513456,19.3181818181818,22.6082251082251,4.06287082752527,"0","1","0"
"6","CENTRAL_WC",3.14675881041575,"CENTRAL","WC",0.317787304413038,9112.36370841478,1007.04545454545,0.349574581047598,0.0206461871728801,0.00980409602988474,3.53049879505762,1.40459049459572,0.982181209315118,3.22175244478106,1.13664423220216,0.942727665871051,2.0156863487181,1.58846270648309,20.6363636363636,42.6233766233766,3.16088900833756,"1","1","0"
"7","NORTH_C",4.03046660293869,"NORTH","C",0.248110231026572,12131.8712116831,1159.5,0.347008851669531,0.0200960538028295,0.00888473032581681,3.6814459437437,1.15585777641221,1.04454479408969,1.81152188117681,0.676602065201414,0.602817997880638,1.13068094647133,2.0605217131274,20.7272727272727,20.3030303030303,4.60004129531343,"1","0","0"
"8","NORTH_MW",3.83909529655085,"NORTH","MW",0.260478035254407,15546.7300491303,1218,0.383194487741385,0.023950058112139,0.0126193162386464,3.41115411526188,1.19906108525648,0.924476787679855,2.51124971881224,0.832185568581469,0.696629675317534,1.54828431068933,1.89409553011963,20.1363636363636,20.8852813852814,4.40616625401794,"0","1","1"
"9","NORTH_MWC",3.30395815227188,"NORTH","MWC",0.302667271772911,9375.03883205456,1123.22727272727,0.291912317113958,0.0127873204976026,0.00359734244118499,4.86700205358816,2.01822844782669,1.74943965899762,2.51775307339356,1.51542341945121,1.40721556535214,1.72116840284043,2.03662503696793,20.9090909090909,20.6580086580087,4.60035051624998,"1","1","1"
"10","NORTH_O",4.65345124245011,"NORTH","O",0.214894268339532,17358.4815432809,1363.31818181818,0.343332346980255,0.0176736410619728,0.00687186694452394,4.14168772962918,0.983312613895843,0.90077175772154,1.31661045877142,0.588087940716373,0.588848111370103,0.584964721225928,2.57498229591677,18,13.6190476190476,4.87752086517421,"0","0","0"
"11","NORTH_W",4.38004624533769,"NORTH","W",0.22830809173863,20684.4693873247,1360.36363636364,0.4134193022386,0.0205873935407138,0.00932449700160497,4.28132348168296,1.08102395471471,0.924227920505215,1.81910319838357,0.634479223235766,0.57987170816535,0.914248216014346,2.1039378411633,19.8181818181818,11.2034632034632,5.92089913006127,"0","1","0"
"12","NORTH_WC",3.01281837960794,"NORTH","WC",0.331915128627877,11708.9339278985,1058.45454545455,0.345706106455802,0.0134134709340735,0.00395826645498314,5.49483350783263,1.77475582602895,1.41527621077213,2.9546591741152,1.42255169069958,1.22245400638752,2.10389948490909,1.86657353027947,19.0454545454545,11.474025974026,5.62255131543921,"1","1","0"
"13","SOUTH_C",2.9964521668382,"SOUTH","C",0.333728003759587,14480.4732763606,1108.27272727273,0.378459002148751,0.0213208173957699,0.0100006995973228,3.78445764398093,1.43881174410629,1.27688627990362,2.0796572919082,0.883319298853649,0.816696877640366,1.16077350277078,1.56202997736038,17.9545454545455,23.5692640692641,3.69829375100169,"1","0","0"
"14","SOUTH_MW",3.44071149980897,"SOUTH","MW",0.290637561462367,12626.1288909503,1245.72727272727,0.334542202987904,0.0173429092100976,0.00661708299713314,4.11261089267985,1.64839712842864,1.2649719533972,3.22359291769399,0.970117895203904,0.79947414852142,1.74560916566715,1.93938631219199,20.0454545454545,28.7121212121212,3.74096176335013,"0","1","1"
"15","SOUTH_MWC",2.89413705951275,"SOUTH","MWC",0.345526137648905,8927.68357973784,1069.45454545455,0.309800751594311,0.0161582776164504,0.0060050685171965,3.99782227577048,2.19832188987827,1.53837581434293,3.63610185615217,1.42467816355931,1.23433829843779,1.78270277119837,1.90497436545368,22.2272727272727,46.6601731601732,3.25396595837201,"1","1","1"
"16","SOUTH_O",3.97095047657762,"SOUTH","O",0.251828877216785,20563.4550551046,1302.63636363636,0.419820578602137,0.0251570023908358,0.0139232449244354,3.55789798435635,1.12294507738316,0.996135459537843,2.00838435954732,0.706567228789653,0.636686387061882,1.20953348903886,2.13572224969414,19.1818181818182,17.4891774891775,4.58675008340685,"0","0","0"
"17","SOUTH_W",4.3903828979221,"SOUTH","W",0.227770566542905,14788.6084479989,1325.09090909091,0.372935107475722,0.0254458649289892,0.014244824923656,3.12467398101287,0.884547575497194,0.64036010883676,2.07433529866921,0.393438520199921,0.34096868953914,0.712176714864355,1.72943083885215,22.3636363636364,27.1948051948052,4.28844106310886,"0","1","0"
"18","SOUTH_WC",2.88311200219754,"SOUTH","WC",0.346847434035788,9531.64262387995,1073.86363636364,0.311081800547031,0.0165674200315757,0.00603854694305841,4.00321007105609,2.15700308588119,1.77663299794586,3.39353831748043,1.47979441960676,1.36338482564941,1.85992930586442,1.84091090119028,21.4545454545455,41.2121212121212,3.34200298581842,"1","1","0"
